day	hour	value
1	1	15793
1	2	10474
1	3	7024
1	4	6082
1	5	9027
1	6	22419
1	7	39952
1	8	55386
1	9	54394
1	10	45226
1	11	43328
1	12	46353
1	13	44759
1	14	48410
1	15	48074
1	16	45537
1	17	56917
1	18	69320
1	19	68379
1	20	62225
1	21	56560
1	22	51137
1	23	36539
1	24	25598
2	1	12495
2	2	7468
2	3	4808
2	4	4422
2	5	9592
2	6	29092
2	7	59082
2	8	83692
2	9	71098
2	10	52740
2	11	49106
2	12	51032
2	13	48836
2	14	52454
2	15	50083
2	16	43816
2	17	56801
2	18	75759
2	19	80750
2	20	77485
2	21	73766
2	22	64869
2	23	46158
2	24	22644
3	1	12948
3	2	7851
3	3	5009
3	4	4174
3	5	7600
3	6	23598
3	7	46429
3	8	62321
3	9	59188
3	10	44298
3	11	40574
3	12	42043
3	13	40492
3	14	43382
3	15	42356
3	16	35741
3	17	47249
3	18	64355
3	19	69594
3	20	66671
3	21	64581
3	22	60752
3	23	44924
3	24	22782
4	1	16231
4	2	9338
4	3	5902
4	4	4393
4	5	7936
4	6	24670
4	7	48704
4	8	64891
4	9	60540
4	10	46453
4	11	42842
4	12	44953
4	13	42991
4	14	46252
4	15	43159
4	16	35358
4	17	46074
4	18	64319
4	19	71104
4	20	69799
4	21	67671
4	22	65073
4	23	53874
4	24	27878
5	1	23716
5	2	14690
5	3	9329
5	4	6654
5	5	8319
5	6	23214
5	7	47164
5	8	63673
5	9	60230
5	10	47845
5	11	43025
5	12	44349
5	13	43320
5	14	45678
5	15	40678
5	16	34957
5	17	46399
5	18	63363
5	19	71358
5	20	70005
5	21	64015
5	22	64962
5	23	64699
5	24	37570
6	1	53130
6	2	45565
6	3	33528
6	4	17207
6	5	7434
6	6	7754
6	7	11795
6	8	19033
6	9	26889
6	10	32604
6	11	37842
6	12	42185
6	13	42784
6	14	42520
6	15	41895
6	16	38492
6	17	44210
6	18	53601
6	19	59832
6	20	58330
6	21	53891
6	22	60002
6	23	65466
6	24	60835
7	1	62799
7	2	56306
7	3	44698
7	4	24448
7	5	9420
7	6	7787
7	7	10065
7	8	16162
7	9	23057
7	10	33233
7	11	41847
7	12	48701
7	13	49789
7	14	49112
7	15	47963
7	16	46652
7	17	48626
7	18	54568
7	19	47281
7	20	46765
7	21	40066
7	22	40598
7	23	34949
7	24	67816
