STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
744860,94789, 20131101,   63.6,24,   57.7,24, 1005.8,24, 1005.0,24,   9.6,24,  16.6,24,  25.1,  31.1,   69.1 ,  53.1 , 0.05G,999.9, 010000,
744860,94789, 20131102,   59.9,24,   50.3,24, 1004.7,24, 1003.9,24,  10.0,24,   5.3,24,  12.0, 999.9,   69.1 ,  53.1 , 0.07G,999.9, 000000,
744860,94789, 20131103,   51.6,24,   34.4,24, 1015.3,24, 1014.5,24,  10.0,24,  12.2,24,  19.0,  24.1,   66.9 ,  42.1 , 0.00G,999.9, 000000,
744860,94789, 20131104,   40.5,24,   17.5,24, 1034.1,24, 1033.4,24,  10.0,24,  10.3,24,  15.9,  19.0,   55.9 ,  34.0 , 0.00G,999.9, 000000,
744860,94789, 20131105,   45.4,24,   30.0,24, 1037.4,24, 1036.6,24,  10.0,24,   6.5,24,   8.9,  15.0,   55.9 ,  34.0 , 0.00G,999.9, 000000,
744860,94789, 20131106,   52.4,24,   43.2,24, 1030.2,24, 1029.4,24,  10.0,24,   5.1,24,  14.0,  22.0,   61.0 ,  37.9 , 0.00G,999.9, 000000,
744860,94789, 20131107,   58.4,24,   54.3,24, 1014.6,18, 1013.4,24,   9.3,24,  11.2,24,  20.0,  31.1,   64.4*,  48.9*, 0.00G,999.9, 010000,
744860,94789, 20131108,   46.4,24,   27.0,24, 1016.1,24, 1015.3,24,  10.0,24,  13.6,24,  20.0,  33.0,   64.0 ,  41.0 , 0.13G,999.9, 000000,
744860,94789, 20131109,   44.5,24,   24.5,24, 1023.6,24, 1022.8,24,  10.0,24,  10.0,24,  15.0,  22.0,   52.0 ,  39.0 , 0.00G,999.9, 000000,
744860,94789, 20131110,   50.6,24,   33.6,24, 1014.6,24, 1013.8,24,  10.0,24,  14.0,24,  27.0,  35.0,   62.1 ,  39.0 , 0.00G,999.9, 010000,
744860,94789, 20131111,   49.3,24,   25.7,24, 1019.8,24, 1019.0,24,  10.0,24,  13.2,24,  19.0,  28.9,   62.1 ,  43.0 , 0.00G,999.9, 000000,
744860,94789, 20131112,   43.9,24,   28.3,24, 1018.5,22, 1017.5,24,   9.0,24,  14.2,24,  25.1,  31.1,   54.0 ,  33.1 , 0.00G,999.9, 011000,
744860,94789, 20131113,   34.0,24,   12.5,24, 1026.6,24, 1025.9,24,  10.0,24,  13.6,24,  18.1,  26.0,   52.0 ,  28.9 , 0.05G,999.9, 000000,
744860,94789, 20131114,   40.9,24,   19.1,24, 1024.7,24, 1023.9,24,  10.0,24,  13.2,24,  17.1,  22.9,   53.1 ,  28.9 , 0.00G,999.9, 000000,
744860,94789, 20131115,   45.3,24,   31.4,24, 1023.5,24, 1022.8,24,  10.0,24,   7.5,24,  11.1, 999.9,   53.1 ,  34.0 , 0.00G,999.9, 000000,
744860,94789, 20131116,   49.4,24,   40.3,24, 1025.6,24, 1024.8,24,   9.8,24,   6.0,24,   9.9, 999.9,   55.9 ,  36.0 , 0.04G,999.9, 010000,
744860,94789, 20131117,   53.4,24,   50.6,24, 1023.1,18, 1022.0,24,   5.6,24,   4.6,24,   8.0, 999.9,   62.1 ,  43.0 , 0.04G,999.9, 110000,
744860,94789, 20131118,   59.2,24,   47.4,24, 1005.5,18, 1006.1,24,   5.7,24,  12.3,24,  22.9,  28.9,   66.9 ,  46.0 , 0.17G,999.9, 110000,
744860,94789, 20131119,   49.2,24,   23.7,24, 1013.7,24, 1012.9,24,  10.0,24,  18.5,24,  25.1,  35.0,   66.9 ,  41.0 , 0.16G,999.9, 000000,
744860,94789, 20131120,   38.2,24,   15.5,24, 1031.1,24, 1030.4,24,  10.0,24,  11.4,24,  19.0,  24.1,   52.0 ,  33.1 , 0.00G,999.9, 000000,
744860,94789, 20131121,   40.4,24,   25.6,24, 1035.5,24, 1034.8,24,  10.0,24,   6.0,24,   8.9, 999.9,   52.0 ,  30.9 , 0.00G,999.9, 000000,
744860,94789, 20131122,   52.1,24,   45.5,24, 1024.4,16, 1023.5,24,   9.5,24,   6.0,24,  11.1, 999.9,   55.9*,  48.2*, 0.00G,999.9, 010000,
744860,94789, 20131123,   47.8,24,   30.2,24, 1014.8,23, 1013.9,24,  10.0,24,  13.8,24,  22.0,  31.1,   57.0 ,  39.9 , 0.07G,999.9, 000000,
744860,94789, 20131124,   29.6,24,    4.3,24, 1019.9,24, 1018.6,24,   9.8,24,  22.0,24,  32.1,  41.0,   55.0 ,  24.1 , 0.00G,999.9, 001000,
744860,94789, 20131125,   28.3,24,    6.9,24, 1030.1,24, 1029.4,24,  10.0,24,  12.4,24,  18.1,  28.0,   36.0 ,  23.0 , 0.00G,999.9, 000000,
